episode,cumulative_reward,average_reward,average_loss
1,75.76495226627374,5.0509968177515825,0.0
2,76.34542650538651,5.0896951003591,0.0
3,88.8940421312217,5.92626947541478,28.394337381635392
4,78.42256887278693,5.228171258185795,27.87671813964844
5,82.49524461606315,5.49968297440421,25.653503926595054
6,87.05404785968257,5.803603190645505,22.059328206380208
7,82.34457888226231,5.489638592150821,14.073875872294108
8,81.06306221394485,5.404204147596323,7.042722845077515
9,92.41144900442279,6.16076326696152,1.917701276143392
10,98.57185186472692,6.571456790981795,1.4015772581100463
11,73.36249659376868,4.890833106251246,1.6038359959920248
12,67.76754366550338,4.517836244366892,1.7380249579747518
13,73.13451331066572,4.875634220711048,1.83012535572052
14,78.76123812432937,5.2507492082886245,1.8759705066680907
15,78.6175620827411,5.241170805516074,1.8675351063410441
16,83.37062152486432,5.558041434990955,1.8927239656448365
17,83.24573869590019,5.549715913060012,1.8939938465754191
18,84.4862214365905,5.632414762439367,1.814738965034485
19,80.46995515591894,5.364663677061262,1.7801920890808105
20,71.55158425328285,4.770105616885524,1.6345769166946411
21,68.02247865700201,4.534831910466801,1.6644892613093059
22,80.95874018797339,5.397249345864893,1.812365436553955
23,69.43142445787673,4.628761630525116,1.436851398150126
24,85.80742468892039,5.7204949792613595,1.7378160635630289
25,77.92367518996882,5.194911679331255,1.635271676381429
26,87.2905054216181,5.819367028107873,1.5920234680175782
27,78.70842935076101,5.247228623384067,1.722154935201009
28,80.40632346907691,5.360421564605128,1.7542781114578248
29,88.79580724305274,5.919720482870182,1.5068709254264832
30,90.50442894883207,6.033628596588804,1.6097944100697836
31,75.47201920522483,5.031467947014988,1.5383553902308147
32,90.04957379521419,6.003304919680946,1.6438169956207276
33,79.9132374727318,5.3275491648487865,1.6188842932383218
34,75.9251096963217,5.06167397975478,1.4826207478841147
35,86.74539865629848,5.783026577086565,1.6207751194636026
36,84.4883653957382,5.632557693049213,1.5521974245707193
37,77.67650338081825,5.178433558721216,1.4681504209836325
38,67.66694734989083,4.511129823326056,1.539410670598348
39,57.132315395184335,3.808821026345622,1.6066519101460774
40,54.49638848489117,3.6330925656594113,1.6173792680104573
41,54.42975743653537,3.6286504957690244,1.7783681472142538
42,57.405758320845685,3.8270505547230456,1.4719417174657186
43,52.914216986021266,3.527614465734751,1.4032624165217082
44,84.80055406213366,5.65337027080891,1.622969659169515
45,119.67302220588131,7.978201480392087,1.8809507369995118
46,112.81214922309411,7.520809948206274,1.8287514289220175
47,108.0758449432943,7.205056329552954,1.9723782618840535
48,118.11015778596393,7.874010519064262,1.8827925682067872
49,125.00054714643883,8.333369809762589,2.331352631251017
50,112.97769656106922,7.531846437404615,2.440934594472249
51,123.08095469501484,8.205396979667656,2.8860801617304483
52,113.47218069668418,7.564812046445612,2.667696404457092
53,114.59594139977193,7.639729426651462,3.1571693738301594
54,121.56217707580326,8.104145138386885,2.710189938545227
55,121.89501756701043,8.126334504467362,2.6314867814381917
56,122.47582625011816,8.16505508334121,3.33930926322937
57,121.09838162849009,8.07322544189934,2.987794041633606
58,109.93377657729911,7.328918438486608,3.014304494857788
59,112.0161624352066,7.467744162347106,3.1587314049402875
60,116.86514414174007,7.791009609449338,3.1718663056691487
61,117.44493347659218,7.829662231772812,3.1377230405807497
62,117.54774427466118,7.836516284977412,3.061537504196167
63,124.13020851007818,8.275347234005212,3.3511337359746296
64,108.94128393459278,7.262752262306185,3.304486083984375
65,133.36343807110742,8.890895871407162,3.480830272038778
66,125.93615506201009,8.395743670800673,3.1200400749842325
67,124.26795726826107,8.284530484550737,3.4296992778778077
68,135.20021361902195,9.013347574601463,3.6390869696935018
69,132.38708722693028,8.825805815128685,3.556181796391805
70,135.34303910089417,9.022869273392946,3.040290029843648
71,123.48070768308686,8.232047178872458,3.3270578066507976
72,116.57644673518548,7.7717631156790326,3.346433480580648
73,119.9752422044653,7.998349480297687,3.6757748762766522
74,114.56768705480947,7.637845803653964,3.2838210980097453
75,105.71389117925553,7.047592745283702,3.2158955256144206
76,136.14888693876847,9.076592462584564,3.2950416882832845
77,128.75527245579156,8.583684830386103,3.651210832595825
78,129.26480565714604,8.617653710476402,3.339404884974162
79,127.64425717236108,8.509617144824071,3.509598175684611
80,114.94105516226806,7.66273701081787,3.1908026854197185
81,116.22897518586241,7.748598345724161,3.2644604047139487
82,136.40771256883647,9.093847504589098,3.5669090588887533
83,132.7451920727655,8.8496794715177,3.5571489334106445
84,115.62708261771276,7.708472174514184,3.5653933842976886
85,120.15746153907848,8.010497435938566,3.281570545832316
86,118.60116071147424,7.906744047431616,3.49268323580424
87,117.42759424841651,7.828506283227767,3.4564201752344768
88,123.86524245894996,8.257682830596664,3.3448318004608155
89,125.58266684018115,8.37217778934541,3.5465137640635174
90,129.01365435434786,8.600910290289857,3.403430461883545
91,121.36884454579582,8.091256303053054,3.888433249791463
92,126.56944350912097,8.437962900608065,3.302159484227498
93,119.31878040626991,7.954585360417994,3.435709063212077
94,121.80336697610714,8.12022446507381,3.138711150487264
95,124.38865189043885,8.292576792695924,3.6013784885406492
96,127.26304891575523,8.484203261050348,3.407654110590617
97,112.46778488661295,7.497852325774196,3.4914295514424643
98,126.07279480296589,8.404852986864393,3.4079038461049396
99,126.75990183758083,8.450660122505388,3.0784474849700927
100,125.20895284225708,8.347263522817139,3.461271079381307
