time,action,migration_cost,latency,throughput,cpu_variance,mig_attempts,mig_successes,reward
169.23,-1,500000,2.059,0.485672,0.08,610607063909,9947018454,4.8722
170.95,-1,500000,1.45,0.689655,2.54,494649245282,8513682904,6.8884
172.69,-1,500000,1.485,0.6734,2.71,357904336930,6060902574,6.7238
175.67,-1,500000,2.715,0.368324,1.99,332764900171,6168684606,3.6819
177.48,-1,500000,1.544,0.647668,0.5,647102221077,11120424683,6.4888
179.21,-1,500000,1.48,0.675675,2.07,369543153928,6431207680,6.7535
181.86,-1,500000,2.423,0.412711,1.07,334986535556,6138662803,4.1347
184.2,-1,500000,2.08,0.480769,0.06,575168834623,9846886391,4.8242
186.58,-1,500000,2.21,0.452488,1.71,488284205309,8552687574,4.5253
188.6,-1,500000,1.758,0.568828,1.09,532381129552,8925369248,5.6941
191.12,-1,500000,2.343,0.426803,1.48,404186951349,7245827148,4.2712
193.11,-1,500000,1.728,0.578703,0.31,569925714047,9454342940,5.8006
195.35,-1,500000,2.05,0.487805,2.45,395590573005,7126482134,4.8716
197.99,-1,500000,2.397,0.417188,0.05,477503203170,8315788974,4.1888
200.68,-1,500000,2.39,0.41841,0.75,592323612130,9806623830,4.1931
202.59,-1,500000,1.642,0.609013,1.54,595929542163,9865034785,6.0913
204.95,-1,500000,2.11,0.473933,1.64,386203283881,6846470793,4.7407
206.98,-1,500000,1.794,0.557413,1.17,533705726821,8657216526,5.5786
209.19,-1,500000,1.958,0.510725,1.5,431905658853,7374514821,5.1093
210.95,-1,500000,1.584,0.631313,0.43,492294303257,8046335467,6.3251
213.23,-1,500000,2.06,0.485437,0.15,402125665006,6426184126,4.8689
215.26,-1,500000,1.787,0.559597,0.82,516795884399,8387930328,5.604
217.13,-1,500000,1.633,0.612369,0.98,402852389628,7393219437,6.1323
219.9,-1,500000,2.581,0.387447,1.24,374737749999,6690100474,3.8799
222.59,-1,500000,2.484,0.402576,0.52,607521360596,10442236485,4.0377
225.12,-1,500000,2.288,0.437063,0.83,649325532655,10105717065,4.3779
227.02,-1,500000,1.642,0.609013,0.4,546206057388,9333098189,6.1032
229.82,-1,500000,2.538,0.394011,1.48,400850423431,6818124371,3.9423
232.0,-1,500000,1.922,0.520291,0.65,656728857733,10401128045,5.2123
233.63,-1,500000,1.379,0.725163,0.35,452430612595,7930461113,7.2656
235.83,-1,500000,1.957,0.510986,1.5,311535355624,5729963057,5.1133
237.81,-1,500000,1.731,0.5777,0.8,471744203029,8058735540,5.7861
240.41,-1,500000,2.342,0.426985,1.61,401106350831,7140542263,4.2715
242.12,-1,500000,1.506,0.66401,0.71,567160258585,9617991625,6.6499
244.06,-1,500000,1.701,0.587889,0.65,359130294108,6140057705,5.8895
246.1,-1,500000,1.868,0.535332,1.79,388947273988,6993327652,5.3533
248.7,-1,500000,2.341,0.427168,0.22,451180054630,7548074130,4.2862
250.63,-1,500000,1.684,0.593824,0.18,552071139137,9613050640,5.9539
252.8,-1,500000,1.881,0.531632,1.34,420825652400,6977890667,5.3195
254.68,-1,500000,1.624,0.615763,2.13,443043733865,7824999498,6.154
256.57,-1,500000,1.734,0.576701,1.45,391785372366,6701448606,5.7696
258.55,-1,500000,1.726,0.579374,0.32,430456276196,7011237811,5.8068
260.55,-1,500000,1.742,0.574052,0.52,417105295342,7107169244,5.7524
263.21,-1,500000,2.415,0.414079,0.63,426011465127,7229483591,4.1515
265.2,-1,500000,1.724,0.580046,1.77,585094441199,9866178126,5.7996
266.92,-1,500000,1.468,0.681198,2.43,382846427343,7158748960,6.8063
269.34,-1,500000,2.189,0.456829,2.69,362543049458,6107464552,4.5582
271.56,-1,500000,2.059,0.485672,1.16,563302355885,8909430489,4.8609
274.19,-1,500000,2.374,0.42123,0.26,506157678358,8308839438,4.2261
276.78,-1,500000,2.389,0.418585,0.3,607307253878,9722292314,4.1988
279.35,-1,500000,2.349,0.425713,0.61,607013647293,9670440483,4.267
280.89,-1,500000,1.371,0.729394,0.72,596967373594,9548071501,7.3027
283.13,-1,500000,1.971,0.507356,0.82,308207469089,5563866789,5.0834
285.34,-1,500000,1.967,0.508388,1.84,484909696277,8144632119,5.0822
287.79,-1,500000,2.205,0.453515,2.07,457042336207,8094816227,4.5322
289.6,-1,500000,1.57,0.636942,0.55,509745146601,9010940534,6.3816
291.67,-1,500000,1.786,0.55991,1.28,372563533844,6494109636,5.6037
293.47,-1,500000,1.554,0.6435,3.98,428749394448,7426171134,6.4125
295.87,-1,500000,2.199,0.454752,1.52,380097152373,6428054929,4.5492
297.69,-1,500000,1.58,0.632911,0.41,521685393338,8935494278,6.3422
300.25,-1,500000,2.303,0.434216,0.41,401627805288,6535997863,4.3543
