timestamp,mode,response_time_s,throughput,load_variance,context_switches
2025-09-26T02:51:53.235423,CFS,0.8,1.25,0.0,0
2025-09-26T02:52:01.266623,CFS,0.761,1.314060446780552,0.0,0
2025-09-26T02:52:09.299987,CFS,0.772,1.2953367875647668,0.0,0
2025-09-26T02:52:17.327770,CFS,0.772,1.2953367875647668,0.0,0
2025-09-26T02:52:25.370373,CFS,0.774,1.2919896640826873,0.0,0
2025-09-26T02:52:33.399696,CFS,0.764,1.3089005235602094,0.0,0
2025-09-26T02:52:41.402508,CFS,0.742,1.3477088948787062,0.0,0
2025-09-26T02:52:49.405790,CFS,0.743,1.3458950201884252,0.0,0
2025-09-26T02:52:57.435987,CFS,0.768,1.3020833333333333,0.0,0
2025-09-26T02:53:05.470188,CFS,0.76,1.3157894736842106,0.0,0
2025-09-26T02:53:13.507394,CFS,0.763,1.310615989515072,0.0,0
2025-09-26T02:53:21.521904,CFS,0.748,1.3368983957219251,0.0,0
2025-09-26T02:53:29.566999,CFS,0.777,1.287001287001287,0.0,0
2025-09-26T02:53:37.596321,CFS,0.779,1.2836970474967908,0.0,0
2025-09-26T02:53:45.641424,CFS,0.775,1.2903225806451613,0.0,0
2025-09-26T02:53:53.678197,CFS,0.772,1.2953367875647668,0.0,0
2025-09-26T02:54:01.707351,CFS,0.758,1.3192612137203166,0.0,0
2025-09-26T02:54:09.711362,CFS,0.751,1.3315579227696406,0.0,0
2025-09-26T02:54:17.744805,CFS,0.77,1.2987012987012987,0.0,0
2025-09-26T02:54:25.758515,CFS,0.741,1.349527665317139,0.0,0
2025-09-26T02:54:33.794777,CFS,0.752,1.3297872340425532,0.0,0
2025-09-26T02:54:41.808366,CFS,0.745,1.342281879194631,0.0,0
2025-09-26T02:54:49.804653,CFS,0.747,1.3386880856760375,0.0,0
2025-09-26T02:54:57.816678,CFS,0.756,1.3227513227513228,0.0,0
2025-09-26T02:55:05.822827,CFS,0.749,1.335113484646195,0.0,0
2025-09-26T02:55:13.825785,CFS,0.745,1.342281879194631,0.0,0
2025-09-26T02:55:21.863525,CFS,0.773,1.2936610608020698,0.0,0
2025-09-26T02:55:29.879939,CFS,0.752,1.3297872340425532,0.0,0
2025-09-26T02:55:37.895979,CFS,0.764,1.3089005235602094,0.0,0
2025-09-26T02:55:45.923197,CFS,0.766,1.3054830287206267,0.0,0
2025-09-26T02:55:53.935843,CFS,0.747,1.3386880856760375,0.0,0
2025-09-26T02:56:01.970137,CFS,0.78,1.282051282051282,0.0,0
2025-09-26T02:56:09.976850,CFS,0.743,1.3458950201884252,0.0,0
2025-09-26T02:56:17.987139,CFS,0.748,1.3368983957219251,0.0,0
2025-09-26T02:56:26.019148,CFS,0.769,1.3003901170351104,0.0,0
2025-09-26T02:56:34.008543,CFS,0.751,1.3315579227696406,0.0,0
2025-09-26T02:56:42.052596,CFS,0.775,1.2903225806451613,0.0,0
2025-09-26T02:56:50.087128,CFS,0.772,1.2953367875647668,0.0,0
