timestamp,mode,response_time_s,throughput,load_variance,context_switches
2025-09-26T02:43:14.761467,RL,0.797,1.2547051442910915,0.0,0
2025-09-26T02:43:22.988646,RL,0.769,1.3003901170351104,0.0,0
2025-09-26T02:43:31.214972,RL,0.757,1.321003963011889,0.0,0
2025-09-26T02:43:39.450140,RL,0.752,1.3297872340425532,0.0,0
2025-09-26T02:43:47.674591,RL,0.756,1.3227513227513228,0.0,0
2025-09-26T02:43:55.918667,RL,0.774,1.2919896640826873,0.0,0
2025-09-26T02:44:04.168138,RL,0.759,1.3175230566534915,0.0,0
2025-09-26T02:44:12.449465,RL,0.786,1.272264631043257,0.0,0
2025-09-26T02:44:20.685166,RL,0.746,1.3404825737265416,0.0,0
2025-09-26T02:44:28.886985,RL,0.749,1.335113484646195,0.0,0
2025-09-26T02:44:37.167272,RL,0.777,1.287001287001287,0.0,0
2025-09-26T02:44:45.414426,RL,0.769,1.3003901170351104,0.0,0
2025-09-26T02:44:53.649209,RL,0.75,1.3333333333333333,0.0,0
2025-09-26T02:45:01.887544,RL,0.766,1.3054830287206267,0.0,0
2025-09-26T02:45:10.128701,RL,0.772,1.2953367875647668,0.0,0
2025-09-26T02:45:18.394408,RL,0.771,1.297016861219196,0.0,0
2025-09-26T02:45:26.630937,RL,0.747,1.3386880856760375,0.0,0
2025-09-26T02:45:34.854053,RL,0.748,1.3368983957219251,0.0,0
2025-09-26T02:45:43.107945,RL,0.779,1.2836970474967908,0.0,0
2025-09-26T02:45:51.376204,RL,0.774,1.2919896640826873,0.0,0
2025-09-26T02:45:59.645012,RL,0.775,1.2903225806451613,0.0,0
2025-09-26T02:46:07.872849,RL,0.77,1.2987012987012987,0.0,0
2025-09-26T02:46:16.102220,RL,0.76,1.3157894736842106,0.0,0
2025-09-26T02:46:24.352143,RL,0.776,1.2886597938144329,0.0,0
2025-09-26T02:46:32.593560,RL,0.753,1.3280212483399734,0.0,0
2025-09-26T02:46:40.835522,RL,0.747,1.3386880856760375,0.0,0
2025-09-26T02:46:49.071445,RL,0.747,1.3386880856760375,0.0,0
2025-09-26T02:46:57.312090,RL,0.782,1.278772378516624,0.0,0
2025-09-26T02:47:05.544309,RL,0.748,1.3368983957219251,0.0,0
2025-09-26T02:47:13.811161,RL,0.775,1.2903225806451613,0.0,0
2025-09-26T02:47:22.035721,RL,0.749,1.335113484646195,0.0,0
2025-09-26T02:47:30.257168,RL,0.75,1.3333333333333333,0.0,0
2025-09-26T02:47:38.538286,RL,0.788,1.2690355329949239,0.0,0
2025-09-26T02:47:46.775369,RL,0.756,1.3227513227513228,0.0,0
2025-09-26T02:47:55.033609,RL,0.785,1.2738853503184713,0.0,0
2025-09-26T02:48:03.305060,RL,0.775,1.2903225806451613,0.0,0
2025-09-26T02:48:11.558934,RL,0.761,1.314060446780552,0.0,0
